Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S07,native,1564.5,Tone 2,normal011_无-u-Tone_2.mp3,speaker011,无,u,Tone 2,normal,1,10,0.011636851,-0.245867602,0.404114833,3.452163043,1.675737553,0.402,211.3593333,0,1,0
S07,native,939.2,Tone 2,normal013_无-u-Tone_2.mp3,speaker013,无,u,Tone 2,normal,1,1,0.005542185,-0.093890355,1.580432045,2.40457504,0.671837154,0.326,117.2726413,0,1,0
S07,native,1169.4,Tone 2,normal014_无-u-Tone_2.mp3,speaker014,无,u,Tone 2,normal,1,9,0.008699507,-0.171134143,1.031908153,2.661913329,1.276711225,0.316,121.2933649,0,1,0
S07,native,1048,Tone 2,normal014_咳-e-Tone_2.mp3,speaker014,咳,e,Tone 2,normal,1,7,0.008699507,-0.171134143,1.001446883,1.806354619,1.339006412,0.179,118.3331217,0,1,0
S07,native,1358.9,Tone 2,normal014_敌-i-Tone_2.mp3,speaker014,敌,i,Tone 2,normal,1,7,0.008699507,-0.171134143,1.014501957,2.141360122,1.312307975,0.237,120.4195086,0,1,0
S07,native,1324,Tone 3,normal014_把-a-Tone_3.mp3,speaker014,把,a,Tone 3,normal,1,14,0.008699507,-0.171134143,1.656197878,1.434544587,0,0.341,88.40113801,0,1,1
S07,native,1531.5,Tone 2,normal011_鱼-y-Tone_2.mp3,speaker011,鱼,y,Tone 2,normal,1,9,0.011636851,-0.245867602,0.518543241,2.727098966,1.535021784,0.352,195.0844422,0,1,0
S07,native,1445,Tone 3,normal014_渴-e-Tone_3.mp3,speaker014,渴,e,Tone 3,normal,1,5,0.008699507,-0.171134143,1.129049467,1.901974315,1.078051209,0.304,108.5845442,0,1,1
S07,native,1914.2,Tone 2,normal011_拔-a-Tone_2.mp3,speaker011,拔,a,Tone 2,normal,1,11,0.007531449,-0.082714379,1.335658808,2.918866275,1.415837184,0.351,190.6361061,0,1,0
S07,native,1252.4,Tone 2,normal014_五-u-Tone_3.mp3,speaker014,五,u,Tone 3,normal,0,8,0.00795869,-0.138748751,0.882189784,1.56282675,0.996432746,0.366,104.4629416,0,1,0
S07,native,1170.8,Tone 2,normal013_鱼-y-Tone_2.mp3,speaker013,鱼,y,Tone 2,normal,1,1,0.005542185,-0.093890355,1.58750799,2.739372967,0.658476796,0.373,121.5769006,0,1,0
S07,native,1393.3,Tone 2,normal013_底-i-Tone_3.mp3,speaker013,底,i,Tone 3,normal,0,12,0.005542185,-0.093890355,1.681752357,1.301000516,0.48053045,0.495,106.9597825,0,1,0
S07,native,1532.2,Tone 2,normal013_拔-a-Tone_2.mp3,speaker013,拔,a,Tone 2,normal,1,1,0.005542185,-0.093890355,1.474985823,2.263558392,0.870934143,0.304,116.1347751,0,1,0
S07,native,1176.7,Tone 3,normal011_渴-e-Tone_3.mp3,speaker011,渴,e,Tone 3,normal,1,13,0.011636851,-0.245867602,1.474604908,2.376121725,0.35932638,0.429,167.5889834,0,1,1
S07,native,1851.2,Tone 3,normal011_雨-y-Tone_3.mp3,speaker011,雨,y,Tone 3,normal,1,12,0.011636851,-0.245867602,1.590242378,2.522643439,0.217123795,0.516,169.8279459,0,1,1
S07,native,1766.1,Tone 2,normal013_敌-i-Tone_2.mp3,speaker013,敌,i,Tone 2,normal,1,12,0.005542185,-0.093890355,1.48507757,2.500801165,0.851879535,0.262,117.2842002,0,1,0
S07,native,1269.7,Tone 3,normal011_底-i-Tone_3.mp3,speaker011,底,i,Tone 3,normal,1,13,0.011636851,-0.245867602,1.367335726,2.210573437,0.491238253,0.469,159.3776187,0,1,1
S07,native,1266.4,Tone 2,normal014_拔-a-Tone_2.mp3,speaker014,拔,a,Tone 2,normal,1,9,0.008699507,-0.171134143,1.142558416,1.791872383,1.050424572,0.269,108.3188236,0,1,0
S07,native,3492.1,Tone 2,normal011_敌-i-Tone_2.mp3,speaker011,敌,i,Tone 2,normal,1,1,0.011636851,-0.245867602,0.585067191,2.663985869,1.453215447,0.309,203.9715238,0,1,0
S07,native,1639.3,Tone 3,normal014_雨-y-Tone_3.mp3,speaker014,雨,y,Tone 3,normal,1,16,0.00795869,-0.138748751,0.853180689,1.886155236,1.055758145,0.35,105.1032374,0,1,1
