Subject,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Group,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,Length,HSKlevel,Gender,Assign
S06,1830,Tone 3,loud022_把-a-Tone_3.mp3,speaker022,把,a,Tone 3,loud,learner,12,0.015819153,-0.369666358,3.754489184,3.09314384,0.747267896,0.578,179.998776,6,5,0,1
S06,1989,Tone 2,loud023_咳-e-Tone_2.mp3,speaker023,咳,e,Tone 2,loud,learner,7,0.006429356,-0.051767919,2.136232876,4.816737082,2.546442612,0.38,152.9840542,6,5,0,0
S06,2142,Tone 3,loud023_渴-e-Tone_3.mp3,speaker023,渴,e,Tone 3,loud,learner,11,0.017777038,-0.426905758,4.456182498,2.953163465,1.195977025,0.484,119.9773575,6,5,0,1
S06,6238,Tone 2,loud024_底-i-Tone_3.mp3,speaker024,底,i,Tone 3,loud,learner,13,0.008099245,-0.057836014,1.146214526,3.411689919,1.541772826,0.487,168.85624,6,5,0,0
S06,1678,Tone 2,loud022_咳-e-Tone_2.mp3,speaker022,咳,e,Tone 2,loud,learner,5,0.015819153,-0.369666358,1.092013485,4.60293793,3.219748487,0.479,251.2068061,6,5,0,0
S06,1186,Tone 2,loud024_拔-a-Tone_2.mp3,speaker024,拔,a,Tone 2,loud,learner,1,0.017777038,-0.426905758,3.479044384,4.136950203,1.609724169,0.37,203.3392569,6,5,0,0
S06,1993,Tone 3,loud022_雨-y-Tone_3.mp3,speaker022,雨,y,Tone 3,loud,learner,12,0.006429356,-0.051767919,1.270169245,3.870330485,2.289597158,0.633,209.8949042,6,5,0,1
S06,1642,Tone 2,loud023_无-u-Tone_2.mp3,speaker023,无,u,Tone 2,loud,learner,1,0.017777038,-0.426905758,4.010561599,4.095746722,2.086004359,0.448,146.8092186,6,5,0,0
S06,1243,Tone 2,loud022_敌-i-Tone_2.mp3,speaker022,敌,i,Tone 2,loud,learner,1,0.015819153,-0.369666358,0.994363974,5,3.310429698,0.479,259.3033184,6,5,0,0
S06,2325,Tone 3,loud023_底-i-Tone_3.mp3,speaker023,底,i,Tone 3,loud,learner,8,0.006429356,-0.051767919,2.362305984,3.088707552,2.09491252,0.453,141.4494415,6,5,0,1
S06,2107,Tone 3,loud023_雨-y-Tone_3.mp3,speaker023,雨,y,Tone 3,loud,learner,10,0.017777038,-0.426905758,4.561823695,2.958406739,0.984982539,0.525,123.7759982,6,5,0,1
S06,1844,Tone 3,loud022_渴-e-Tone_3.mp3,speaker022,渴,e,Tone 3,loud,learner,10,0.015819153,-0.369666358,3.447792795,3.33167439,1.032078334,0.46,182.4986223,6,5,0,1
S06,2072,Tone 3,loud023_把-a-Tone_3.mp3,speaker023,把,a,Tone 3,loud,learner,10,0.006429356,-0.051767919,2.983801464,2.175342125,0.853615341,0.465,112.9173238,6,5,0,1
S06,1955,Tone 3,loud022_底-i-Tone_3.mp3,speaker022,底,i,Tone 3,loud,learner,11,0.015819153,-0.369666358,2.67614169,2.895677548,1.748664172,0.592,187.6378565,6,5,0,1
S06,2211,Tone 3,loud023_五-u-Tone_3.mp3,speaker023,五,u,Tone 3,loud,learner,12,0.017777038,-0.426905758,4.404122329,3.064472339,1.299955482,0.481,119.4623758,6,5,0,1
